Name,Position,General,Defending,Mental,Passing,Mobility,Power,Rating,Shooting,Flag,Age,Nationality,Photo,Club_Logo,Club,media_puntaje
Angeliño,LB,79,51,79,83,81,76,84,69,https://cdn.sofifa.com/flags/es.png,24,Spain,https://cdn.sofifa.com/players/220/651/22_60.png,https://cdn.sofifa.com/teams/112172/30.png,RB Leipzig,75.25
Cristiano Ronaldo,ST,87,19,72,81,88,81,91,90,https://cdn.sofifa.com/flags/pt.png,36,Portugal,https://cdn.sofifa.com/players/020/801/22_60.png,https://cdn.sofifa.com/teams/11/30.png,Manchester United,76.125
12 Roberto Carlos,SUB,74,80,60,80,76,78,79,76,https://cdn.sofifa.com/flags/br.png,38,Brazil,https://cdn.sofifa.com/players/001/040/12_60.png,https://cdn.sofifa.com/teams/100766/30.png,FC Anzhi Makhachkala,75.375
Canales,LM,75,43,80,84,83,67,83,79,https://cdn.sofifa.com/flags/es.png,30,Spain,https://cdn.sofifa.com/players/190/286/22_60.png,https://cdn.sofifa.com/teams/449/30.png,Real Betis Balompié,74.25
H. Kane,ST,84,25,79,84,76,79,90,86,https://cdn.sofifa.com/flags/gb-eng.png,27,England,https://cdn.sofifa.com/players/202/126/22_60.png,https://cdn.sofifa.com/teams/18/30.png,Tottenham Hotspur,75.375
19 Dani Alves,RB,80,77,80,83,79,74,82,73,https://cdn.sofifa.com/flags/br.png,35,Brazil,https://cdn.sofifa.com/players/146/530/19_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,78.5
M. Brozović,CDM,77,54,80,80,73,79,84,74,https://cdn.sofifa.com/flags/hr.png,28,Croatia,https://cdn.sofifa.com/players/216/352/22_60.png,https://cdn.sofifa.com/teams/44/30.png,Inter,75.125
M. Verratti,CM,81,55,87,87,76,73,87,62,https://cdn.sofifa.com/flags/it.png,28,Italy,https://cdn.sofifa.com/players/199/556/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,76.0
Saúl,SUB,80,52,79,78,74,78,84,74,https://cdn.sofifa.com/flags/es.png,26,Spain,https://cdn.sofifa.com/players/208/421/22_60.png,https://cdn.sofifa.com/teams/5/30.png,Chelsea,74.875
Thiago,LCM,80,46,80,86,76,76,86,75,https://cdn.sofifa.com/flags/es.png,30,Spain,https://cdn.sofifa.com/players/189/509/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,75.625
J. Veretout,LDM,72,53,77,78,78,80,82,77,https://cdn.sofifa.com/flags/fr.png,28,France,https://cdn.sofifa.com/players/201/519/22_60.png,https://cdn.sofifa.com/teams/52/30.png,Roma,74.625
J. Henderson,RCM,76,52,81,85,72,78,84,72,https://cdn.sofifa.com/flags/gb-eng.png,31,England,https://cdn.sofifa.com/players/183/711/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,75.0
I. Gündoğan,LCM,78,47,81,84,74,71,85,79,https://cdn.sofifa.com/flags/de.png,30,Germany,https://cdn.sofifa.com/players/186/942/22_60.png,https://cdn.sofifa.com/teams/10/30.png,Manchester City,74.875
R. Nainggolan,LCM,70,54,80,78,72,78,80,80,https://cdn.sofifa.com/flags/be.png,33,Belgium,https://cdn.sofifa.com/players/178/518/22_60.png,https://cdn.sofifa.com/teams/230/30.png,Royal Antwerp FC,74.0
T. Delaney,SUB,76,55,79,75,76,82,81,69,https://cdn.sofifa.com/flags/dk.png,29,Denmark,https://cdn.sofifa.com/players/193/283/22_60.png,https://cdn.sofifa.com/teams/481/30.png,Sevilla FC,74.125
Lucas Paquetá,CAM,78,45,80,78,77,79,83,75,https://cdn.sofifa.com/flags/br.png,23,Brazil,https://cdn.sofifa.com/players/233/927/22_60.png,https://cdn.sofifa.com/teams/66/30.png,Olympique Lyonnais,74.375
F. Kessié,LDM,72,54,80,75,77,83,85,71,https://cdn.sofifa.com/flags/ci.png,24,Côte d'Ivoire,https://cdn.sofifa.com/players/230/938/22_60.png,https://cdn.sofifa.com/teams/47/30.png,AC Milan,74.625
R. Malinovskyi,RF,82,41,76,82,73,77,81,82,https://cdn.sofifa.com/flags/ua.png,28,Ukraine,https://cdn.sofifa.com/players/231/969/22_60.png,https://cdn.sofifa.com/teams/39/30.png,Atalanta,74.25
K. Walker,RB,78,56,75,78,84,80,85,66,https://cdn.sofifa.com/flags/gb-eng.png,31,England,https://cdn.sofifa.com/players/188/377/22_60.png,https://cdn.sofifa.com/teams/10/30.png,Manchester City,75.25
R. Gosens,LM,78,52,76,80,80,80,83,67,https://cdn.sofifa.com/flags/de.png,26,Germany,https://cdn.sofifa.com/players/223/697/22_60.png,https://cdn.sofifa.com/teams/39/30.png,Atalanta,74.5
S. Mané,LW,85,27,74,78,92,83,89,76,https://cdn.sofifa.com/flags/sn.png,29,Senegal,https://cdn.sofifa.com/players/208/722/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,75.5
L. Pellegrini,CAM,76,49,77,81,78,80,84,74,https://cdn.sofifa.com/flags/it.png,25,Italy,https://cdn.sofifa.com/players/228/251/22_60.png,https://cdn.sofifa.com/teams/52/30.png,Roma,74.875
D. Wass,RCM,76,50,77,80,75,75,80,76,https://cdn.sofifa.com/flags/dk.png,32,Denmark,https://cdn.sofifa.com/players/172/522/22_60.png,https://cdn.sofifa.com/teams/461/30.png,Valencia CF,73.625
A. Hakimi,RB,76,51,77,80,90,81,86,64,https://cdn.sofifa.com/flags/ma.png,22,Morocco,https://cdn.sofifa.com/players/235/212/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,75.625
Y. Tielemans,RDM,78,47,79,86,69,73,86,79,https://cdn.sofifa.com/flags/be.png,24,Belgium,https://cdn.sofifa.com/players/216/393/22_60.png,https://cdn.sofifa.com/teams/95/30.png,Leicester City,74.625
Ricardo Pereira,RB,77,56,78,80,82,78,84,63,https://cdn.sofifa.com/flags/pt.png,27,Portugal,https://cdn.sofifa.com/players/210/243/22_60.png,https://cdn.sofifa.com/teams/95/30.png,Leicester City,74.75
T. Hernández,LB,76,53,79,77,87,78,87,67,https://cdn.sofifa.com/flags/fr.png,23,France,https://cdn.sofifa.com/players/232/656/22_60.png,https://cdn.sofifa.com/teams/47/30.png,AC Milan,75.5
Grimaldo,LWB,79,50,77,81,85,76,84,68,https://cdn.sofifa.com/flags/es.png,25,Spain,https://cdn.sofifa.com/players/210/035/22_60.png,https://cdn.sofifa.com/teams/234/30.png,SL Benfica,75.0
21 Renato Augusto,LCM,77,46,76,81,76,72,83,80,https://cdn.sofifa.com/flags/br.png,32,Brazil,https://cdn.sofifa.com/players/169/195/21_60.png,https://cdn.sofifa.com/teams/111768/30.png,Beijing Guoan FC,73.875
Neymar Jr,LW,85,20,74,84,92,70,91,85,https://cdn.sofifa.com/flags/br.png,29,Brazil,https://cdn.sofifa.com/players/190/871/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,75.125
K. Trippier,SUB,80,54,77,82,75,76,84,68,https://cdn.sofifa.com/flags/gb-eng.png,30,England,https://cdn.sofifa.com/players/186/345/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,74.5
N. De la Cruz,RAM,78,46,80,74,84,76,81,74,https://cdn.sofifa.com/flags/uy.png,24,Uruguay,https://cdn.sofifa.com/players/240/699/22_60.png,https://cdn.sofifa.com/teams/1876/30.png,River Plate,74.125
12 M. Ballack,SUB,76,70,63,79,66,74,80,83,https://cdn.sofifa.com/flags/de.png,34,Germany,https://cdn.sofifa.com/players/003/647/12_60.png,https://cdn.sofifa.com/teams/32/30.png,Bayer 04 Leverkusen,73.875
Roberto Firmino,CF,84,35,77,78,81,82,85,76,https://cdn.sofifa.com/flags/br.png,29,Brazil,https://cdn.sofifa.com/players/201/942/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,74.75
19 C. Marchisio,RES,78,78,80,81,78,74,84,75,https://cdn.sofifa.com/flags/it.png,31,Italy,https://cdn.sofifa.com/players/173/210/19_60.png,https://cdn.sofifa.com/teams/45/30.png,Juventus,78.5
R. De Paul,SUB,75,49,76,78,79,78,82,74,https://cdn.sofifa.com/flags/ar.png,27,Argentina,https://cdn.sofifa.com/players/212/616/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,73.875
N. Kanté,RCM,66,60,84,76,83,84,90,60,https://cdn.sofifa.com/flags/fr.png,30,France,https://cdn.sofifa.com/players/215/914/22_60.png,https://cdn.sofifa.com/teams/5/30.png,Chelsea,75.375
A. Florenzi,SUB,76,50,75,79,79,72,81,78,https://cdn.sofifa.com/flags/it.png,30,Italy,https://cdn.sofifa.com/players/203/551/22_60.png,https://cdn.sofifa.com/teams/47/30.png,AC Milan,73.75
Yuri Berchiche,SUB,76,52,76,78,81,82,82,66,https://cdn.sofifa.com/flags/es.png,31,Spain,https://cdn.sofifa.com/players/183/512/22_60.png,https://cdn.sofifa.com/teams/448/30.png,Athletic Club de Bilbao,74.125
G. Bale,SUB,84,34,73,82,80,71,82,84,https://cdn.sofifa.com/flags/gb-wls.png,31,Wales,https://cdn.sofifa.com/players/173/731/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,73.75
Portu,SUB,79,40,75,77,86,80,82,71,https://cdn.sofifa.com/flags/es.png,29,Spain,https://cdn.sofifa.com/players/205/070/22_60.png,https://cdn.sofifa.com/teams/457/30.png,Real Sociedad,73.75
A. Di María,SUB,79,36,75,85,86,72,87,81,https://cdn.sofifa.com/flags/ar.png,33,Argentina,https://cdn.sofifa.com/players/183/898/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,75.125
21 I. Fernández,RCM,78,47,80,79,78,70,81,76,https://cdn.sofifa.com/flags/ar.png,30,Argentina,https://cdn.sofifa.com/players/215/998/21_60.png,https://cdn.sofifa.com/teams/1876/30.png,River Plate,73.625
Jesús Navas,RB,80,52,80,82,85,67,84,64,https://cdn.sofifa.com/flags/es.png,35,Spain,https://cdn.sofifa.com/players/146/536/22_60.png,https://cdn.sofifa.com/teams/481/30.png,Sevilla FC,74.25
F. Valverde,SUB,72,52,80,78,83,74,86,71,https://cdn.sofifa.com/flags/uy.png,22,Uruguay,https://cdn.sofifa.com/players/239/053/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,74.5
R. Guerreiro,LB,76,52,77,85,81,68,84,74,https://cdn.sofifa.com/flags/pt.png,27,Portugal,https://cdn.sofifa.com/players/209/889/22_60.png,https://cdn.sofifa.com/teams/22/30.png,Borussia Dortmund,74.625
L. Paredes,SUB,75,53,82,83,70,74,82,73,https://cdn.sofifa.com/flags/ar.png,27,Argentina,https://cdn.sofifa.com/players/207/439/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,74.0
K. Mbappé,ST,84,22,72,78,95,82,93,82,https://cdn.sofifa.com/flags/fr.png,22,France,https://cdn.sofifa.com/players/231/747/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,76.0
G. Lo Celso,SUB,78,48,78,82,79,71,83,74,https://cdn.sofifa.com/flags/ar.png,25,Argentina,https://cdn.sofifa.com/players/226/226/22_60.png,https://cdn.sofifa.com/teams/18/30.png,Tottenham Hotspur,74.125
19 D. Srna,RB,75,74,80,86,72,67,78,78,https://cdn.sofifa.com/flags/hr.png,36,Croatia,https://cdn.sofifa.com/players/139/997/19_60.png,https://cdn.sofifa.com/teams/1842/30.png,Cagliari,76.25
A. Kolarov,RES,79,53,78,80,66,69,78,79,https://cdn.sofifa.com/flags/rs.png,35,Serbia,https://cdn.sofifa.com/players/185/103/22_60.png,https://cdn.sofifa.com/teams/44/30.png,Inter,72.75
Fred,LDM,72,50,78,77,82,78,81,68,https://cdn.sofifa.com/flags/br.png,28,Brazil,https://cdn.sofifa.com/players/209/297/22_60.png,https://cdn.sofifa.com/teams/11/30.png,Manchester United,73.25
Carlos Soler,RM,74,49,75,81,78,72,84,78,https://cdn.sofifa.com/flags/es.png,24,Spain,https://cdn.sofifa.com/players/234/153/22_60.png,https://cdn.sofifa.com/teams/461/30.png,Valencia CF,73.875
19 C. Noboa,SUB,76,75,74,77,74,76,79,74,https://cdn.sofifa.com/flags/ec.png,33,Ecuador,https://cdn.sofifa.com/players/187/457/19_60.png,https://cdn.sofifa.com/flags/ec.png,No Club,75.625
Rúben Neves,RCM,74,49,79,84,66,72,84,80,https://cdn.sofifa.com/flags/pt.png,24,Portugal,https://cdn.sofifa.com/players/224/293/22_60.png,https://cdn.sofifa.com/teams/110/30.png,Wolverhampton Wanderers,73.5
Anderson Talisca,CAM,82,32,72,80,81,74,82,82,https://cdn.sofifa.com/flags/br.png,27,Brazil,https://cdn.sofifa.com/players/212/523/22_60.png,https://cdn.sofifa.com/teams/112139/30.png,Al Nassr,73.125
J. Corona,RW,80,49,80,77,86,71,82,67,https://cdn.sofifa.com/flags/mx.png,28,Mexico,https://cdn.sofifa.com/players/193/165/22_60.png,https://cdn.sofifa.com/teams/236/30.png,FC Porto,74.0
Parejo,LCM,79,46,79,89,61,67,86,84,https://cdn.sofifa.com/flags/es.png,32,Spain,https://cdn.sofifa.com/players/189/513/22_60.png,https://cdn.sofifa.com/teams/483/30.png,Villarreal CF,73.875
C. Tolisso,SUB,77,50,79,77,72,78,80,72,https://cdn.sofifa.com/flags/fr.png,26,France,https://cdn.sofifa.com/players/219/683/22_60.png,https://cdn.sofifa.com/teams/21/30.png,FC Bayern München,73.125
A. Witsel,CDM,78,53,80,81,69,76,83,73,https://cdn.sofifa.com/flags/be.png,32,Belgium,https://cdn.sofifa.com/players/177/413/22_60.png,https://cdn.sofifa.com/teams/22/30.png,Borussia Dortmund,74.125
Raúl García,RS,83,46,81,82,55,78,80,80,https://cdn.sofifa.com/flags/es.png,34,Spain,https://cdn.sofifa.com/players/171/579/22_60.png,https://cdn.sofifa.com/teams/448/30.png,Athletic Club de Bilbao,73.125
Fabinho,CDM,76,57,80,80,71,77,87,67,https://cdn.sofifa.com/flags/br.png,27,Brazil,https://cdn.sofifa.com/players/209/499/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,74.375
A. Robertson,LB,78,55,82,82,83,74,88,59,https://cdn.sofifa.com/flags/gb-sct.png,27,Scotland,https://cdn.sofifa.com/players/216/267/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,75.125
T. Partey,RDM,76,55,81,82,74,75,83,68,https://cdn.sofifa.com/flags/gh.png,28,Ghana,https://cdn.sofifa.com/players/209/989/22_60.png,https://cdn.sofifa.com/teams/1/30.png,Arsenal,74.25
L. Robertone,LCM,77,50,72,72,83,78,80,71,https://cdn.sofifa.com/flags/ar.png,24,Argentina,https://cdn.sofifa.com/players/235/008/22_60.png,https://cdn.sofifa.com/teams/1861/30.png,Unión Deportiva Almería,72.875
L. Provod,RES,75,47,76,77,77,78,80,74,https://cdn.sofifa.com/flags/cz.png,24,Czech Republic,https://cdn.sofifa.com/players/253/727/22_60.png,https://cdn.sofifa.com/teams/266/30.png,SK Slavia Praha,73.0
Renan Lodi,SUB,78,52,77,78,83,78,84,63,https://cdn.sofifa.com/flags/br.png,23,Brazil,https://cdn.sofifa.com/players/251/573/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,74.125
M. Arnold,LDM,75,51,78,78,70,70,82,79,https://cdn.sofifa.com/flags/de.png,27,Germany,https://cdn.sofifa.com/players/206/511/22_60.png,https://cdn.sofifa.com/teams/175/30.png,VfL Wolfsburg,72.875
17 J. Vargas,SUB,73,74,70,79,71,68,76,77,https://cdn.sofifa.com/flags/pe.png,31,Peru,https://cdn.sofifa.com/players/167/305/17_60.png,https://cdn.sofifa.com/teams/449/30.png,Real Betis Balompié,73.5
I. Bennacer,RDM,75,48,76,80,78,78,82,69,https://cdn.sofifa.com/flags/dz.png,23,Algeria,https://cdn.sofifa.com/players/226/754/22_60.png,https://cdn.sofifa.com/teams/47/30.png,AC Milan,73.25
E. Banega,CAM,76,50,80,84,70,68,82,76,https://cdn.sofifa.com/flags/ar.png,33,Argentina,https://cdn.sofifa.com/players/178/562/22_60.png,https://cdn.sofifa.com/teams/111674/30.png,Al Shabab,73.25
H. Herrera,SUB,71,50,81,75,74,80,81,71,https://cdn.sofifa.com/flags/mx.png,31,Mexico,https://cdn.sofifa.com/players/156/519/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,72.875
Marcelo,SUB,84,52,79,80,76,72,80,68,https://cdn.sofifa.com/flags/br.png,33,Brazil,https://cdn.sofifa.com/players/176/676/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,73.875
W. McKennie,SUB,75,51,78,73,78,82,80,69,https://cdn.sofifa.com/flags/us.png,22,United States,https://cdn.sofifa.com/players/238/744/22_60.png,https://cdn.sofifa.com/teams/45/30.png,Juventus,73.25
T. Lemar,LCM,78,41,74,81,83,70,84,76,https://cdn.sofifa.com/flags/fr.png,25,France,https://cdn.sofifa.com/players/213/565/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,73.375
I. Perišić,LM,78,37,74,77,81,78,81,78,https://cdn.sofifa.com/flags/hr.png,32,Croatia,https://cdn.sofifa.com/players/181/458/22_60.png,https://cdn.sofifa.com/teams/44/30.png,Inter,73.0
Arthur,RES,78,48,78,84,77,76,84,68,https://cdn.sofifa.com/flags/br.png,24,Brazil,https://cdn.sofifa.com/players/230/658/22_60.png,https://cdn.sofifa.com/teams/45/30.png,Juventus,74.125
17 S. Gerrard,RES,79,65,79,85,63,68,81,82,https://cdn.sofifa.com/flags/gb-eng.png,36,England,https://cdn.sofifa.com/players/013/743/17_60.png,https://cdn.sofifa.com/teams/697/30.png,LA Galaxy,75.25
Capa,SUB,73,51,78,76,80,86,80,62,https://cdn.sofifa.com/flags/es.png,29,Spain,https://cdn.sofifa.com/players/216/189/22_60.png,https://cdn.sofifa.com/teams/448/30.png,Athletic Club de Bilbao,73.25
P. Ševčík,RES,74,45,74,76,81,80,78,72,https://cdn.sofifa.com/flags/cz.png,27,Czech Republic,https://cdn.sofifa.com/players/247/030/22_60.png,https://cdn.sofifa.com/teams/266/30.png,SK Slavia Praha,72.5
Oscar,CAM,75,38,70,83,80,76,82,77,https://cdn.sofifa.com/flags/br.png,29,Brazil,https://cdn.sofifa.com/players/188/152/22_60.png,https://cdn.sofifa.com/teams/112540/30.png,Shanghai Port FC,72.625
T. Kroos,LCM,78,44,79,91,65,62,88,82,https://cdn.sofifa.com/flags/de.png,31,Germany,https://cdn.sofifa.com/players/182/521/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,73.625
F. Mendy,SUB,76,54,79,79,86,82,84,55,https://cdn.sofifa.com/flags/fr.png,26,France,https://cdn.sofifa.com/players/228/618/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,74.375
Alex Sandro,LB,78,53,75,79,80,79,83,65,https://cdn.sofifa.com/flags/br.png,30,Brazil,https://cdn.sofifa.com/players/191/043/22_60.png,https://cdn.sofifa.com/teams/45/30.png,Juventus,74.0
Diogo Jota,SUB,81,34,77,72,85,78,84,74,https://cdn.sofifa.com/flags/pt.png,24,Portugal,https://cdn.sofifa.com/players/224/458/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,73.125
L. Stindl,CAM,77,39,77,79,69,74,82,82,https://cdn.sofifa.com/flags/de.png,32,Germany,https://cdn.sofifa.com/players/187/072/22_60.png,https://cdn.sofifa.com/teams/23/30.png,Borussia Mönchengladbach,72.375
M. Pjanić,RCM,78,49,77,82,72,70,82,76,https://cdn.sofifa.com/flags/ba.png,31,Bosnia and Herzegovina,https://cdn.sofifa.com/players/180/206/22_60.png,https://cdn.sofifa.com/teams/327/30.png,Beşiktaş JK,73.25
